id,name,team,total_goals,total_assists,market_value
16,Manuel Neuer,Bayern Munich,0,23,€5.00m
17,Bruno Fernandes,Man Utd,167,132,€70.00m
18,Toni Kroos,Real Madrid,73,164,€12.00m
19,Antoine Griezmann,Atlético Madrid,265,119,€25.00m
20,Thiago Alcântara,Liverpool,48,63,€10.00m
21,Alisson Becker,Liverpool,1,10,€32.00m
22,Andrew Robertson,Liverpool,23,84,€35.00m
23,Joshua Kimmich,Bayern Munich,54,120,€60.00m
24,João Félix,Barcelona,82,41,€30.00m
25,Frenkie de Jong,Barcelona,37,47,€70.00m
26,Marco Verratti,Al-Arabi SC,13,79,€18.00m
27,Jadon Sancho,Bor. Dortmund,89,83,€25.00m
28,Casemiro,Man Utd,55,51,€30.00m
29,Mohamed Elneny,Arsenal,20,25,€4.50m
30,Roberto Firmino,Al-Ahli,175,118,€10.00m
31,Phil Foden,Man City,105,65,€130.00m
32,Jordan Henderson,Ajax,39,81,€6.00m
33,David Alaba,Real Madrid,49,75,€25.00m
34,Mason Mount,Man Utd,66,61,€40.00m
35,Thomas Müller,Bayern Munich,284,271,€10.00m
36,Romelu Lukaku,AS Roma,308,93,€30.00m
37,Jorginho,Arsenal,48,33,€15.00m
38,César Azpilicueta,Atlético Madrid,19,64,€3.00m
39,Luis Suárez,Miami,483,265,€4.00m
40,Riyad Mahrez,Al-Ahli,148,116,€16.00m
41,Vinícius Júnior,Real Madrid,94,80,€150.00m
42,Thibaut Courtois,Real Madrid,0,20,€30.00m
43,Marcus Rashford,Man Utd,136,64,€60.00m
44,Heung-min Son,Tottenham,227,97,€50.00m
45,Raphaël Varane,Man Utd,21,8,€25.00m
46,Ángel Di María,Benfica,178,267,€4.00m
47,Keylor Navas,Paris SG,0,16,€2.00m
48,Marquinhos,Paris SG,38,13,€55.00m
49,Nicolas Pépé,Trabzonspor,91,46,€10.00m
50,Wilfred Ndidi,Leicester,24,20,€16.00m
51,N'Golo Kanté,Al-Ittihad,28,35,€10.00m
52,Lautaro Martínez,Inter,155,48,€110.00m
53,Gianluigi Donnarumma,Paris SG,0,34,€40.00m
54,Jamie Vardy,Leicester,224,83,€1.00m
55,Federico Valverde,Real Madrid,23,27,€100.00m
56,Kai Havertz,Arsenal,119,53,€60.00m
57,Leon Goretzka,Bayern Munich,90,75,€30.00m
58,David de Gea,Without Club,0,11,€5.00m
59,Ederson,Man City,0,43,€40.00m
60,Raúl Jiménez,Fulham,132,55,€6.00m
61,Carvajal,Real Madrid,16,81,€12.00m
62,Lucas Hernández,Paris SG,7,15,€45.00m
63,Edinson Cavani,Boca Juniors,380,73,€1.00m
64,Leroy Sané,Bayern Munich,120,121,€70.00m
65,Alexandre Lacazette,Olympique Lyon,250,86,€10.00m
66,Aymeric Laporte,Al-Nassr,26,12,€25.00m
67,Declan Rice,Arsenal,22,24,€110.00m
68,Yannick Carrasco,Al-Shabab,101,92,€18.00m
69,Rui Patrício,AS Roma,0,38,€2.00m
70,Kalidou Koulibaly,Al-Hilal,22,15,€11.00m
71,Miralem Pjanić,Sharjah FC,77,126,€4.00m
72,Jules Koundé,Barcelona,17,14,€50.00m
73,Álvaro Morata,Atlético Madrid,215,81,€20.00m
74,Fabinho,Al-Ittihad,44,36,€35.00m
75,Raphinha,Barcelona,81,62,€50.00m
76,Rodri,Man City,32,37,€110.00m
